Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Contact Email,Website
Investor Growth Capital Limited,https://www.crunchbase.com/organization/investor-growth-capital,145,65,"Stockholm, Stockholms Lan, Sweden",,http://www.investorgrowthcapital.com
Seraphim Space,https://www.crunchbase.com/organization/seraphim-capital,144,7,"London, England, United Kingdom",ea@seraphim.vc,https://seraphim.vc
Karista,https://www.crunchbase.com/organization/karista,144,32,"Paris, Ile-de-France, France",contact@karista.vc,https://www.karista.vc/
Bosch Ventures,https://www.crunchbase.com/organization/robert-bosch-venture-capital,143,28,"Stuttgart, Baden-Wurttemberg, Germany",Info.RBVC@de.bosch.com,http://www.rbvc.com
IRIS,https://www.crunchbase.com/organization/iris-capital,143,39,"Paris, Ile-de-France, France",contact@iris.vc,https://www.iris.vc
Swisscom Ventures,https://www.crunchbase.com/organization/swisscom-ventures,142,41,"Zürich, Zurich, Switzerland",,https://ventures.swisscom.com
Pario Ventures,https://www.crunchbase.com/organization/pario-ventures,142,21,"London, England, United Kingdom",info@parioventures.com,http://www.parioventures.com
MH Ventures,https://www.crunchbase.com/organization/mh-ventures,142,1,"London, England, United Kingdom",info@mhventures.io,https://www.mhventures.io/
Mercia Fund Managers,https://www.crunchbase.com/organization/mercia-fund-management,142,14,"Henley In Arden, Warwickshire, United Kingdom",info@merciafund.co.uk,https://www.mercia.co.uk
Possible Ventures,https://www.crunchbase.com/organization/possible-ventures,142,3,"Munich, Bayern, Germany",,https://possible.ventures
TGFS - Technologiegründerfonds Sachsen,https://www.crunchbase.com/organization/technologiegrnderfonds-sachsen,141,9,"Leipzig, Sachsen, Germany",info@tgfs.de,https://www.cfh.de
Tiny VC,https://www.crunchbase.com/organization/tiny-vc,141,17,"London, England, United Kingdom",,https://www.tiny.vc/
Kreos Capital,https://www.crunchbase.com/organization/kreos-capital,140,64,"London, England, United Kingdom",info@kreoscapital.com,http://www.kreoscapital.com
Seedstars,https://www.crunchbase.com/organization/seedstars,140,7,"Geneva, Geneve, Switzerland",info@seedstars.com,https://www.seedstars.com/
PSV,https://www.crunchbase.com/organization/preseed-innovation,138,26,"Lyngby, Hovedstaden, Denmark",pitch@preseedventures.dk,https://psv.xyz
Founders Factory,https://www.crunchbase.com/organization/founders-factory,138,17,"London, England, United Kingdom",hello@foundersfactory.com,https://foundersfactory.com/
Star Ventures,https://www.crunchbase.com/organization/star-ventures,138,45,"München, Bayern, Germany",info@star-ventures.de,http://www.star-ventures.com
Atlantic Bridge,https://www.crunchbase.com/organization/atlantic-bridge,136,32,"Dublin, Dublin, Ireland",info@abven.com,http://www.abven.com
Siparex Groupe,https://www.crunchbase.com/organization/groupe-siparex,136,31,"Paris, Ile-de-France, France",a.gall@siparex.com,http://www.siparex.com
LDC,https://www.crunchbase.com/organization/ldc,136,60,"London, England, United Kingdom",info@ldc.co.uk,http://www.ldc.co.uk
Connect Ventures,https://www.crunchbase.com/organization/connect-ventures,134,19,"London, England, United Kingdom",,http://www.connectventures.co/
Oxford Technology Management,https://www.crunchbase.com/organization/oxford-technology-management,134,21,"Oxford, Oxfordshire, United Kingdom",info@oxfordtechnology.com,http://www.oxfordtechnology.com
Hedosophia,https://www.crunchbase.com/organization/hedosophia,134,22,"London, England, United Kingdom",,http://www.hedosophia.com
Exor Ventures,https://www.crunchbase.com/organization/exor-ventures,133,4,"Amsterdam, Noord-Holland, The Netherlands",seeds@exor.com,https://www.exor.com/pages/companies-investments/ventures
Uncorrelated Ventures,https://www.crunchbase.com/organization/uncorrelated-ventures,133,8,"London, England, United Kingdom",,https://uncorrelated.com/
Space3ac,https://www.crunchbase.com/organization/space3ac,133,1,"Gdansk, Pomorskie, Poland",hello@space3.ac,http://www.space3.ac/
UBS,https://www.crunchbase.com/organization/ubs,132,39,"Zürich, Zurich, Switzerland",mediarelations@ubs.com,https://www.ubs.com
Prosus Ventures,https://www.crunchbase.com/organization/prosus-ventures,132,9,"Amsterdam, Noord-Holland, The Netherlands",,https://www.prosus.com/prosus-ventures
Dawn Capital,https://www.crunchbase.com/organization/dawn-capital,131,24,"London, England, United Kingdom",deals@dawncapital.com,http://www.dawncapital.com
Tesi,https://www.crunchbase.com/organization/tesi,130,18,"Helsinki, Southern Finland, Finland",,https://www.tesi.fi
ZBS CAPITAL,https://www.crunchbase.com/organization/zbs-capital,130,,"Kyiv, Kyyiv, Ukraine",invest@zbs.capital,https://zbs.capital
BOM,https://www.crunchbase.com/organization/brabantse-ontwikkelings-maatschappij-bom,129,13,"Tilburg, Noord-Brabant, The Netherlands",brabantventures@bom.nl,https://www.bom.nl/
Cambridge Angels group,https://www.crunchbase.com/organization/cambridge-angels-group,129,18,"London, England, United Kingdom",info@cambridgeangels.net,http://cambridgeangels.com
Acton Capital,https://www.crunchbase.com/organization/acton-capital-partners,128,42,"München, Bayern, Germany",info@actoncapital.com,http://www.actoncapital.com
BREEGA,https://www.crunchbase.com/organization/breega-capital,128,16,"Paris, Ile-de-France, France",com@breega.com,https://www.breega.com/
Felix Capital,https://www.crunchbase.com/organization/felix-capital,128,12,"London, England, United Kingdom",info@felixcap.com,http://www.felixcap.com
Episode 1,https://www.crunchbase.com/organization/episode,127,8,"London, England, United Kingdom",info@episode1.com,http://www.episode1.com
Cathay Capital,https://www.crunchbase.com/organization/cathaycapital,127,22,"Paris, Ile-de-France, France",contact@cathay.fr,https://www.cathaycapital.com
Credo Ventures,https://www.crunchbase.com/organization/credo-ventures,127,17,"Prague, Hlavni mesto Praha, Czech Republic",info@credoventures.com,http://www.credoventures.com
SGH CAPITAL,https://www.crunchbase.com/organization/sgh-capital,127,32,"Luxembourg, Luxembourg, Luxembourg",venture@sghcapital.com,https://www.sghcapital.com
BNP Paribas Développement,https://www.crunchbase.com/organization/bnp-paribas-developpement,127,21,"Paris, Ile-de-France, France",bnpparibas.developpement@bnpparibas.com,http://www.bnpparibasdeveloppement.com/
AVP,https://www.crunchbase.com/organization/axa-strategic-ventures,126,17,"Paris, Ile-de-France, France",sebastien.loubry@avpcap.com,https://www.avpcap.com 
GO CAPITAL,https://www.crunchbase.com/organization/ouest-ventures,126,12,"Rennes, Bretagne, France",contact@gocapital.fr,http://www.gocapital.fr/
SyndicateRoom,https://www.crunchbase.com/organization/syndicateroom,126,9,"Cambridge, Cambridgeshire, United Kingdom",contactus@syndicateroom.com,http://www.syndicateroom.com
PMV,https://www.crunchbase.com/organization/pmv-eu,126,20,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info@pmv.eu,http://www.pmv.eu/en
RebelBio,https://www.crunchbase.com/organization/rebelbio-eu,126,2,"London, England, United Kingdom",,https://rebelbio.co/
Ardian,https://www.crunchbase.com/organization/ardian,125,43,"Paris, Ile-de-France, France",press@ardian.com,https://www.ardian.com/
Midven,https://www.crunchbase.com/organization/midven,125,28,"Birmingham, Birmingham, United Kingdom",enquiries@midven.com,https://midven.co.uk/
Hummingbird Ventures,https://www.crunchbase.com/organization/hummingbird-ventures,124,13,"Watermael-boitsfort, Brussels Hoofdstedelijk Gewest, Belgium",hello@hummingbird.vc,http://www.hummingbird.vc
HealthCap,https://www.crunchbase.com/organization/healthcap,124,36,"Stockholm, Stockholms Lan, Sweden",,https://www.healthcap.eu
Icebreaker.vc,https://www.crunchbase.com/organization/icebreaker-vc,123,4,"Helsinki, Southern Finland, Finland",info@icebreaker.vc,https://icebreaker.vc/
Verdane,https://www.crunchbase.com/organization/verdane,123,28,"Oslo, Oslo, Norway",office@verdane.com,http://www.verdane.com
Capnamic,https://www.crunchbase.com/organization/capnamic-ventures,122,19,"Cologne, Nordrhein-Westfalen, Germany",info@capnamic.com,http://capnamic.com
Mountain Partners,https://www.crunchbase.com/organization/mountain-partners,122,31,"Zürich, Zurich, Switzerland",contact@mountain.partners,https://mountain.partners/
Wellcome Trust,https://www.crunchbase.com/organization/wellcome-trust,121,38,"London, England, United Kingdom",mediaoffice@wellcome.ac.uk,https://wellcome.org
Highland Europe,https://www.crunchbase.com/organization/highland-capital-partners-europe,119,24,"Geneva, Geneve, Switzerland",,http://www.highlandeurope.com/
Kurma Partners,https://www.crunchbase.com/organization/kurma-life-science-partners,119,13,"Paris, Ile-de-France, France",contact@kurmapartners.com,http://www.kurmapartners.com
Gilde Healthcare,https://www.crunchbase.com/organization/gilde-healthcare-partners,119,39,"Utrecht, Utrecht, The Netherlands",healthcare@gildehealthcare.com,http://www.gildehealthcare.com
Naxicap Partners,https://www.crunchbase.com/organization/naxicap-partners,119,33,"Paris, Ile-de-France, France",contact_toulouse@naxicap.fr,http://www.naxicap.fr
Kibo Ventures,https://www.crunchbase.com/organization/kibo-ventures,119,20,"Madrid, Madrid, Spain",hello@kiboventures.com,http://www.kiboventures.com
London Co-Investment Fund,https://www.crunchbase.com/organization/london-co-investment-fund,119,14,"London, England, United Kingdom",hello@fundinglondon.co.uk,http://lcif.co/
Lightrock,https://www.crunchbase.com/organization/lightrock,117,4,"London, England, United Kingdom",info@lightrock.com,https://www.lightrock.com
Roche Venture Fund,https://www.crunchbase.com/organization/roche-venture-fund,117,39,"Basel, Basel-Stadt, Switzerland",roche.venturefund@roche.com,http://www.venturefund.roche.com
UK Innovation & Science Seed Fund,https://www.crunchbase.com/organization/rainbow-seed-fund,117,7,"Harwell, Oxfordshire, United Kingdom",enquiries@UKI2S.co.uk,https://ukinnovationscienceseedfund.co.uk
Investinor,https://www.crunchbase.com/organization/investinor,116,23,"Trondheim, Sor-Trondelag, Norway",post@investinor.no,http://www.investinor.no
Praetura Ventures,https://www.crunchbase.com/organization/praetura-capital,115,7,"Manchester, Manchester, United Kingdom",ventures@praetura.co.uk,https://www.praeturaventures.com
Playfair Capital,https://www.crunchbase.com/organization/playfair-capital,115,14,"London, England, United Kingdom",hello@playfair.vc,http://playfair.vc
UVC Partners,https://www.crunchbase.com/organization/uvc-partners,115,9,"Garching, Bayern, Germany",pitch@uvcpartners.com,http://www.uvcpartners.com/
Founders Future,https://www.crunchbase.com/organization/founders-future,115,3,"Paris, Ile-de-France, France",hello@foundersfuture.com,http://www.foundersfuture.com
QVentures,https://www.crunchbase.com/organization/q-ventures,115,13,"London, England, United Kingdom",,https://www.qventures.co
SpinLab - The HHL Accelerator,https://www.crunchbase.com/organization/spinlab---the-hhl-accelerator,115,11,"Leipzig, Sachsen, Germany",info@spinlab.co,https://spinlab.co/
Redstone.VC,https://www.crunchbase.com/organization/redstone-digital-gmbh,114,9,"Berlin, Berlin, Germany",info@redstone.vc,http://www.redstone.vc
Wayra UK,https://www.crunchbase.com/organization/wayra-uk,114,6,"London, England, United Kingdom",victor.aloic@wayra.org,https://www.wayra.uk
EQT,https://www.crunchbase.com/organization/eqt-holdings,113,50,"Stockholm, Stockholms Lan, Sweden",press@eqtpartners.com,https://eqtgroup.com
eCAPITAL ENTREPRENEURIAL PARTNERS,https://www.crunchbase.com/organization/ecapital-entrepreneurial-partners-ag,113,22,"Münster, Nordrhein-Westfalen, Germany",info@ecapital.vc,http://www.ecapital.vc
bmp Ventures,https://www.crunchbase.com/organization/bmp-ag,113,18,"Berlin, Berlin, Germany",info@bmp.com,http://www.bmp.com
Angel Invest,https://www.crunchbase.com/organization/angel-invest-ventures,113,4,"Berlin, Berlin, Germany",js@angelinvest.ventures,https://angelinvest.ventures
IMPACT Accelerator,https://www.crunchbase.com/organization/impact,113,7,"Madrid, Madrid, Spain",info@impact-accelerator.com,http://www.impact-accelerator.com/
Xavier Niel,https://www.crunchbase.com/person/xavier-niel,113,28,"Paris, Ile-de-France, France",,
Axel Springer Plug and Play Accelerator,https://www.crunchbase.com/organization/axel-springer-plug-and-play-accelerator,113,18,"Berlin, Berlin, Germany",PlugandPlay@Axelspringer.de,http://www.axelspringerplugandplay.com
Investisseurs & Partenaires,https://www.crunchbase.com/organization/investisseurs-and-partenaires,112,9,"Paris, Ile-de-France, France",info@ietp.com,http://www.ietp.com/
Social Tech Trust,https://www.crunchbase.com/organization/nominet-trust,112,4,"Oxford, Oxfordshire, United Kingdom",hello@socialtechtrust.org,https://socialtechtrust.org/
Katapult,https://www.crunchbase.com/organization/katapult-accelerator,112,4,"Oslo, Oslo, Norway",hello@katapult.vc,https://katapult.vc
K Fund,https://www.crunchbase.com/organization/kfund,111,9,"Madrid, Madrid, Spain",info@kfund.vc,http://kfund.vc
Hoxton Ventures,https://www.crunchbase.com/organization/hoxton-ventures,111,15,"London, England, United Kingdom",info@hoxton.vc,https://www.hoxton.vc
S.R.I.W.,https://www.crunchbase.com/organization/s-r-i-w,111,16,"Liège, Liege, Belgium",,http://www.sriw.be
Aglaé Ventures,https://www.crunchbase.com/organization/aglae-ventures,110,4,"Paris, Ile-de-France, France",contact@aglaeventures.com,http://aglaeventures.com/
Leblon Capital,https://www.crunchbase.com/organization/leblon-capital,109,11,"Munich, Bayern, Germany",,https://leblon-capital.notion.site/
Target Partners,https://www.crunchbase.com/organization/target-partners,109,22,"Munich, Bayern, Germany",info@targetpartners.de,http://www.targetpartners.de
Midlands Engine Investment Fund,https://www.crunchbase.com/organization/midlands-engine-investment-fund,109,2,"Sheffield, Sheffield, United Kingdom",,https://meif.co.uk/
YFM Equity Partners,https://www.crunchbase.com/organization/yfm-equity-partners,108,24,"London, England, United Kingdom",info@yfmep.com,http://www.yfmep.com/
Daphni,https://www.crunchbase.com/organization/daphni,107,6,"Paris, Ile-de-France, France",,http://www.daphni.com
VentureFriends,https://www.crunchbase.com/organization/venturefriends,107,6,"Athens, Attiki, Greece",info@venturefriends.vc,http://venturefriends.vc
Capricorn Partners,https://www.crunchbase.com/organization/capricorn-partners,107,30,"Leuven, Vlaams-Brabant, Belgium",proposals@capricorn.be,http://www.capricorn.be
VI Partners,https://www.crunchbase.com/organization/vi-partners,107,21,"Altendorf, Schwyz, Switzerland",funding@vipartners.ch,http://www.vipartners.ch/
BayBG Venture Capital,https://www.crunchbase.com/organization/baybg,107,13,"München, Bayern, Germany",info@baybg.de,https://www.baybg-vc.de/
Fabric Ventures,https://www.crunchbase.com/organization/fabric-ventures,106,2,"London, England, United Kingdom",info@fabric.vc,https://www.fabric.vc/
Starquest Capital,https://www.crunchbase.com/organization/starquest-capital,106,10,"Paris, Ile-de-France, France",contact@starquest-capital.com,https://www.starquest-capital.com/
Claret Capital Partners,https://www.crunchbase.com/organization/harbert-european-growth-capital,105,36,"London, England, United Kingdom",ldavenport@claret-capital.com,https://www.claret-capital.com/
JamJar Investments,https://www.crunchbase.com/organization/jamjar-investments,105,21,"London, England, United Kingdom",invest@jamjarinvestments.com,http://jamjarinvestments.com/
La Famiglia,https://www.crunchbase.com/organization/la-famiglia,104,9,"Berlin, Berlin, Germany",ciao@lafamiglia.vc,http://lafamiglia.vc/
Leaps by Bayer,https://www.crunchbase.com/organization/leaps-by-bayer,104,9,"Leverkusen, Nordrhein-Westfalen, Germany",,https://leaps.bayer.com
M Capital Partners,https://www.crunchbase.com/organization/m-capital-partners,104,18,"Toulouse, Midi-Pyrenees, France",contact@mcapitalpartners.fr,http://www.mcapital.fr
FastTrackTech,https://www.crunchbase.com/organization/fasttracktech,104,3,"Geneva, Geneve, Switzerland",labbe@intracen.org,http://www.intracen.org/e-Trade-for-Impact/Fast-Tracking-Digital-Entrepreneurship-in-Africa/
Pi Labs,https://www.crunchbase.com/organization/pi-labs-2,103,11,"London, England, United Kingdom",info@pilabs.vc,http://www.pilabs.vc
BACKED VC,https://www.crunchbase.com/organization/backed-vc,103,10,"London, England, United Kingdom",,http://backed.vc/
Alma Mundi Ventures,https://www.crunchbase.com/organization/alma-mundi-venture,103,8,"Madrid, Madrid, Spain",contact@mundiventures.com,http://mundiventures.com/
Aslanoba Capital,https://www.crunchbase.com/organization/aslanoba-capital,103,16,"Istanbul, Istanbul, Turkey",contact@aslanobacapital.com,http://www.aslanobacapital.com
Catapult Ventures,https://www.crunchbase.com/organization/catapult-venture-managers,103,30,"Enderby, Leicester, United Kingdom",mail@catapult-ventures.com,http://www.catapult-ventures.com
Piton Capital,https://www.crunchbase.com/organization/piton-capital,103,15,"London, England, United Kingdom",info@pitoncap.com,https://www.pitoncap.com/
KFW DEG,https://www.crunchbase.com/organization/kfw-deg,103,22,"Cologne, Nordrhein-Westfalen, Germany",info@deginvest.de,https://www.deginvest.de
SAIS,https://www.crunchbase.com/organization/sais-a4f9,103,,"Bonn, Nordrhein-Westfalen, Germany",,https://sais-accelerator.com
University of Cambridge Enterprise,https://www.crunchbase.com/organization/university-of-cambridge-enterprise,103,4,"Cambridge, Cambridgeshire, United Kingdom",enquiries@enterprise.cam.ac.uk,https://www.enterprise.cam.ac.uk/
Upscale,https://www.crunchbase.com/organization/upscale,103,25,"London, England, United Kingdom",,https://technation.io/programmes/upscale/
GP Bullhound,https://www.crunchbase.com/organization/gp-bullhound,102,28,"London, England, United Kingdom",hello.london@gpbullhound.com,http://www.gpbullhound.com
NRW.BANK,https://www.crunchbase.com/organization/nrw-bank,102,15,"Düsseldorf, Nordrhein-Westfalen, Germany",info@nrwbank.de,http://www.nrwbank.de
Delta Partners,https://www.crunchbase.com/organization/delta-partners,102,25,"Leopardstown, Dublin, Ireland",info@deltapartners.com,http://www.deltapartners.com/
TMT Investments,https://www.crunchbase.com/organization/tmt-investments,102,16,"St. Helier, NA - Jersey, Jersey",info@tmtinvestments.com,http://tmtinvestments.com
Equity Gap,https://www.crunchbase.com/organization/equity-gap,102,4,"Edinburgh, Edinburgh, City of, United Kingdom",enquiries@equitygap.co.uk,https://www.equitygap.co.uk
Business Angels Switzerland (BAS),https://www.crunchbase.com/organization/business-angels-switzerland-bas,102,5,"Zürich, Zurich, Switzerland",contact-b@businessangels.ch,http://www.businessangels.ch/
Euralimentaire,https://www.crunchbase.com/organization/euralimentaire,102,,"Lomme, Nord-Pas-de-Calais, France",,https://www.euralimentaire.com/lincubateur-accelerateur/un-accompagnement-aux-start-up-et-pme/
Practica Capital,https://www.crunchbase.com/organization/practica-capital,101,4,"Vilnius, Vilniaus Apskritis, Lithuania",info@practica.vc,https://www.practica.vc/
JME Ventures,https://www.crunchbase.com/organization/fundacin-jos-manuel-entrecanales,101,8,"Madrid, Madrid, Spain",backme@jme.vc,http://www.jme.vc/
TVM Capital,https://www.crunchbase.com/organization/tvm-capital,101,32,"Munich, Bayern, Germany",info@tvm-capital.de,http://www.tvm-capital.com
The North West Fund,https://www.crunchbase.com/organization/north-west-fund,101,11,"Warrington, Warrington, United Kingdom",enquiries@thenorthwestfund.co.uk,http://www.thenorthwestfund.co.uk
Incubateur Impulse,https://www.crunchbase.com/organization/incubateur-impulse,101,4,"Château Gombert, Provence-Alpes-Cote d'Azur, France",m.defous@incubateur-impulse.com,https://www.incubateur-impulse.fr
Standard Chartered Bank,https://www.crunchbase.com/organization/standard-chartered-bank,100,41,"London, England, United Kingdom",,https://www.sc.com
Northern Powerhouse Investment Fund,https://www.crunchbase.com/organization/northern-powerhouse-investment-fund,100,9,"Sheffield, Sheffield, United Kingdom",info@british-business-bank.co.uk,http://www.npif.co.uk/
Newable Private Investing,https://www.crunchbase.com/organization/newable-private-investing,100,11,"London, England, United Kingdom",privateinvesting@newable.co.uk,https://newable.co.uk/ventures
STRT Holding Nyrt,https://www.crunchbase.com/organization/strt-holding-zrt,100,2,"Budapest, Budapest, Hungary",info@strt.hu,https://strt.hu
AA Sons,https://www.crunchbase.com/organization/aa-sons,100,12,"London, England, United Kingdom",contact@aasons.io,http://aasons.io/
Draper B1,https://www.crunchbase.com/organization/draper-b1,99,3,"Valencia, Comunidad Valenciana, Spain",info@draperb1.vc,https://draperb1.vc/
Crane Venture Partners,https://www.crunchbase.com/organization/crane-venture-partners,99,6,"London, England, United Kingdom",,https://www.crane.vc/
Kennet Partners,https://www.crunchbase.com/organization/kennet-venture-partners,99,44,"London, England, United Kingdom",info@kennet.com,http://www.kennet.com
24 Haymarket,https://www.crunchbase.com/organization/24-haymarket,99,11,"London, England, United Kingdom",contact@24haymarket.com,http://24haymarket.com/
Sofina,https://www.crunchbase.com/organization/sofina,99,14,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info@sofinagroup.com,https://www.sofinagroup.com
Wintermute Ventures,https://www.crunchbase.com/organization/wintermute-ventures,99,2,"London, England, United Kingdom",,https://wintermute.com/ventures
MCI Capital SA,https://www.crunchbase.com/organization/mci-management,99,23,"Warsaw, Mazowieckie, Poland",office@mci.eu,https://mci.pl
Eurostars,https://www.crunchbase.com/organization/eurostars,99,9,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",,https://eurekanetwork.org/programmes/eurostars/
Simon Murdoch,https://www.crunchbase.com/person/simon-murdoch,99,23,"London, England, United Kingdom",,
Acurio Ventures,https://www.crunchbase.com/organization/acurio-ventures,98,9,"Bilbao, Pais Vasco, Spain",hello@acurio.vc,http://www.acurio.vc
P101,https://www.crunchbase.com/organization/programma-101,98,17,"Milan, Lombardia, Italy",info@p101.it,https://www.p101.it/en/
Mercia Asset Management,https://www.crunchbase.com/organization/mercia-asset-management,98,16,"Henley In Arden, Warwickshire, United Kingdom",info@mercia.co.uk,https://www.mercia.co.uk/
Thibaud Elziere,https://www.crunchbase.com/person/thibaud-elziere,98,8,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",,
Calm/Storm Ventures,https://www.crunchbase.com/organization/calm-storm-ventures,97,3,"Vienna, Wien, Austria",hello@calmstorm.vc,https://www.calmstorm.vc
ICF Capital,https://www.crunchbase.com/organization/institut-catal-de-finances-icf,97,9,"Barcelona, Catalonia, Spain",infoifem@icf.cat,http://www.icf.cat/es/productes-financers/index.html?BotoOp=capital
Forward Partners,https://www.crunchbase.com/organization/forward-partners,97,16,"London, England, United Kingdom",seed@forwardpartners.com,http://www.forwardpartners.com
Maven 11 Capital,https://www.crunchbase.com/organization/maven-11-capital,97,,"Amsterdam, Noord-Holland, The Netherlands",joost@maven11.com,https://www.maven11.com
Worth Capital,https://www.crunchbase.com/organization/worth-capital,97,2,"London, England, United Kingdom",info@worthcapital.uk,https://worthcapital.uk/
BNP Paribas Private Equity,https://www.crunchbase.com/organization/bnp-paribas-private-equity,97,38,"Paris, Ile-de-France, France",ipcontacts@bnpparibas.com,http://www.bnpparibas-ip.com
Alpana Ventures,https://www.crunchbase.com/organization/alpana-ventures,97,10,"Geneva, Geneve, Switzerland",info@alpana-ventures.ch,https://alpana-ventures.ch/
Finorpa,https://www.crunchbase.com/organization/finorpa-gie,97,9,"Lens, Nord-Pas-de-Calais, France",finorpa@finorpa.fr,http://www.finorpa.fr/finorpa-gie
Taavet Hinrikus,https://www.crunchbase.com/person/taavet-hinrikus,97,13,"London, England, United Kingdom",,
Foundamental,https://www.crunchbase.com/organization/foundamental,96,5,"Berlin, Berlin, Germany",hello@foundamental.com,https://foundamental.com
coparion,https://www.crunchbase.com/organization/coparion,96,11,"Cologne, Nordrhein-Westfalen, Germany",info@coparion.vc,https://www.coparion.vc/en
Club degli Investitori,https://www.crunchbase.com/organization/club-degli-investitori,96,9,"Torino, Piemonte, Italy",info@clubdeglinvestitori.it,http://www.clubdeglinvestitori.it/
Kindred Capital,https://www.crunchbase.com/organization/kindredcapital,95,8,"London, England, United Kingdom",hello@kindredcapital.vc,http://www.kindredcapital.vc/
Metaplanet,https://www.crunchbase.com/organization/metaplanet-holdings,95,3,"Tallinn, Harjumaa, Estonia",,https://metaplanet.com
StartupYard,https://www.crunchbase.com/organization/startupyard,95,7,"Praha, Hlavni mesto Praha, Czech Republic",info@startupyard.com,http://startupyard.com/
UI Investissement,https://www.crunchbase.com/organization/ui-gestion,94,11,"Paris, Ile-de-France, France",Paulgregory0000@gmail.com,https://www.ui-investissement.com
Angels Capital,https://www.crunchbase.com/organization/angels-capital,94,5,"Valencia, Comunidad Valenciana, Spain",info@angelscapital.es,http://www.angelscapital.es/
Cogitent Ventures,https://www.crunchbase.com/organization/cogitent-ventures,94,2,"London, England, United Kingdom",,https://cogitent.ventures/
Seaya,https://www.crunchbase.com/organization/seaya-ventures,93,11,"Madrid, Madrid, Spain",info@seayaventures.com,https://seaya.vc
NAP,https://www.crunchbase.com/organization/nap-vc,93,4,"Berlin, Berlin, Germany",lena@nap.vc,https://www.nap.vc/
Crédit Mutuel Innovation,https://www.crunchbase.com/organization/cm-cic-capital-innovation,93,26,"Paris, Ile-de-France, France",,https://www.creditmutuel-innovation.eu/
Digital Magics,https://www.crunchbase.com/organization/digital-magics,93,6,"Milan, Lombardia, Italy",info@digitalmagics.com,http://www.digitalmagics.com
Pontaq,https://www.crunchbase.com/organization/pontaq,93,,"London, England, United Kingdom",,https://www.pontaq.vc/
Cambridge Innovation Capital,https://www.crunchbase.com/organization/cambridge-innovation-capital,92,9,"Cambridge, Cambridgeshire, United Kingdom",enquiries@cic.vc,https://www.cic.vc
Boehringer Ingelheim Venture Fund,https://www.crunchbase.com/organization/boehringer-ingelheim-venture-fund,92,10,"Ingelheim Am Rhein, Rheinland-Pfalz, Germany",,http://www.boehringer-ingelheim-venture.com
Axeleo Capital,https://www.crunchbase.com/organization/axeleo-sas,92,14,"Lyon, Rhone-Alpes, France",contact@axc.vc,http://www.axc.vc
Creathor Ventures,https://www.crunchbase.com/organization/creathor-venture-management,92,22,"Bad Homburg, Hessen, Germany",creathor@creathor.com,http://www.creathor.com
HOWZAT Partners,https://www.crunchbase.com/organization/howzat-partners,92,17,"Luxembourg, Luxembourg, Luxembourg",info@howzatpartners.com,http://www.howzatpartners.com
VNV Global,https://www.crunchbase.com/organization/vostok-nafta-investment,92,13,"Stockholm, Stockholms Lan, Sweden",bjorn@vnv.global,https://vnv.global
Mosaic Ventures,https://www.crunchbase.com/organization/mosaic-ventures,91,25,"London, England, United Kingdom",hello@mosaicventures.com,http://www.mosaicventures.com/
CVC Capital Partners,https://www.crunchbase.com/organization/cvc-capital-partners,91,40,"Luxembourg, Luxembourg, Luxembourg",info@cvc.com,http://www.cvc.com
Advent Venture Partners,https://www.crunchbase.com/organization/advent-venture-partners,91,36,"London, England, United Kingdom",info@adventventures.com,http://adventventures.com
Angels Den,https://www.crunchbase.com/organization/angels-den,91,4,"London, England, United Kingdom",info@angelsden.com,http://www.angelsden.com
10x Group,https://www.crunchbase.com/organization/10xgroup,91,15,"Munich, Bayern, Germany",,http://10x.group/
Finnvera Venture Capital,https://www.crunchbase.com/organization/finnvera-venture-capital,91,19,"Kuopio, Eastern Finland, Finland",,https://www.finnvera.fi/eng/
Initial Capital,https://www.crunchbase.com/organization/initial-capital,91,22,"London, England, United Kingdom",info@initialcapital.com,http://www.initialcapital.com
Concept Ventures,https://www.crunchbase.com/organization/concept-vc,90,2,"London, England, United Kingdom",,https://conceptventures.vc
Nextech Invest,https://www.crunchbase.com/organization/nextech-invest,90,40,"Zürich, Zurich, Switzerland",info@nextechinvest.com,http://www.nextechinvest.com
ING Group,https://www.crunchbase.com/organization/ing-group,90,28,"Amsterdam, Noord-Holland, The Netherlands",,http://www.ing.com
MIG Capital,https://www.crunchbase.com/organization/mig-ag,90,13,"München, Bayern, Germany",info@mig.ag,http://www.mig.ag/en/
Limburgse Reconversie Maatschappij,https://www.crunchbase.com/organization/limburgse-reconversie-maatschappij,90,15,"Hasselt, Limburg, Belgium",info@lrm.be,http://www.lrm.be/en
Keiretsu Forum Turkey,https://www.crunchbase.com/organization/keiretsu-forum-turkey,90,6,"Sariyer, Istanbul, Turkey",,http://keiretsuforum.com.tr/
Italian Angels for Growth,https://www.crunchbase.com/organization/italian-angels-for-growth,90,11,"Milan, Lombardia, Italy",press@italianangels.net,http://www.italianangels.net
Fly Ventures,https://www.crunchbase.com/organization/fly-ventures,89,7,"Berlin, Berlin, Germany",,http://www.fly.vc
