Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Contact Email
Deloitte,https://www.crunchbase.com/organization/deloitte,"London, England, United Kingdom","Accounting, Consulting, Financial Services, Legal, Professional Services, Risk Management",10,globalwebmaster@deloitte.com
noa,https://www.crunchbase.com/organization/a-o-proptech,"London, England, United Kingdom","Commercial Real Estate, Construction, Finance, Financial Services, PropTech, Real Estate, Real Estate Investment, Smart Cities, Sustainability, Venture Capital",29,info@noavc.com
Crowdcube,https://www.crunchbase.com/organization/crowdcube,"Exeter, Devon, United Kingdom","Business Development, Crowdfunding, Financial Services, FinTech, Funding Platform, Venture Capital",813,info@crowdcube.com
Unconventional Ventures,https://www.crunchbase.com/organization/unconventional-ventures-0eb1,"Copenhagen, Hovedstaden, Denmark",Venture Capital,10,hello@unconventional.vc
AENU,https://www.crunchbase.com/organization/aenu,"Berlin, Berlin, Germany","Impact Investing, Venture Capital",34,hello@aenu.com
Newfund,https://www.crunchbase.com/organization/newfund-management,"Paris, Ile-de-France, France","Business Development, Finance, Financial Services, Venture Capital",157,contact@newfundcap.com
ROM Utrecht Region,https://www.crunchbase.com/organization/rom-utrecht-region-27bc,"Utrecht, Utrecht, The Netherlands","Angel Investment, Business Development, Professional Services, Trading Platform, Venture Capital",20,info@romutrechtregion.nl
Auxxo,https://www.crunchbase.com/organization/auxxo,"Berlin, Berlin, Germany","Business Development, Financial Services, Impact Investing, Women's",25,partners@auxxo.de
Forward Partners,https://www.crunchbase.com/organization/forward-partners,"London, England, United Kingdom","Angel Investment, Financial Services, Venture Capital",66,seed@forwardpartners.com
b2venture,https://www.crunchbase.com/organization/btovpartners,"Berlin, Berlin, Germany","Asset Management, Finance, Financial Services, Venture Capital",148,berlin@b2venture.vc
Lisk,https://www.crunchbase.com/organization/lisk,"Zug, Zug, Switzerland","Blockchain, Cryptocurrency, Developer Tools, Open Source, Software",2,business@lisk.io
Suma Capital,https://www.crunchbase.com/organization/suma-capital,"Barcelona, Catalonia, Spain",Venture Capital,30,info@sumacapital.com
Banco BPM,https://www.crunchbase.com/organization/banco-bpm,"Milan, Lombardia, Italy","Banking, Commercial, Finance, Financial Services",41,investor.relations@bancobpm.it
Calm/Storm Ventures,https://www.crunchbase.com/organization/calm-storm-ventures,"Vienna, Wien, Austria","Electronic Health Record (EHR), Fertility, Health Care, Health Diagnostics, Health Insurance, Home Health Care, Medical, Personal Health, Therapeutics, Wellness",86,hello@calmstorm.vc
The Yield Lab Europe,https://www.crunchbase.com/organization/the-yield-lab-europe,"Dublin, Dublin, Ireland","Agriculture, AgTech, Aquaculture, Farming, Venture Capital",23,europe@theyieldlab.com
APX,https://www.crunchbase.com/organization/apxberlin,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",136,hello@apx.vc
Pi Labs,https://www.crunchbase.com/organization/pi-labs-2,"London, England, United Kingdom","Finance, Innovation Management, Venture Capital",83,info@pilabs.vc
Flyer One Ventures,https://www.crunchbase.com/organization/flyer-one-ventures,"Warsaw, Mazowieckie, Poland","B2B, Enterprise Software, Food Delivery, Gamification, Gaming, Machine Learning, Software, Venture Capital, Virtual Workforce",61,go@flyerone.vc
Cardano Foundation,https://www.crunchbase.com/organization/cardano-foundation,"Zug, Zug, Switzerland","Application Performance Management, Bitcoin, Blockchain, Consumer Applications, Cryptocurrency, Developer APIs, Finance, Open Source",4,info@cardanofoundation.org
Colendi,https://www.crunchbase.com/organization/colendi,"London, England, United Kingdom","Banking, Finance, Financial Services, FinTech, Lending",9,info@colendi.com
Marathon Venture Capital,https://www.crunchbase.com/organization/marathon-venture-capital,"Athens, Attiki, Greece",Venture Capital,21,info@marathon.vc
Superhero Capital,https://www.crunchbase.com/organization/superhero-cap,"Helsinki, Southern Finland, Finland",Venture Capital,55,nexthero@superherocapital.com
Contrarian Ventures,https://www.crunchbase.com/organization/contrarian-ventures,"Vilnius, Vilniaus Apskritis, Lithuania",Venture Capital,27,info@cventures.vc
Angular Ventures,https://www.crunchbase.com/organization/angular-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",38,info@angularventures.com
bmp Ventures,https://www.crunchbase.com/organization/bmp-ag,"Berlin, Berlin, Germany","E-Commerce, Financial Services, Health Care, Industrial, Information Technology, Internet, Medical, Software, Venture Capital",96,info@bmp.com
Isai,https://www.crunchbase.com/organization/isai,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",94,info@isai.fr
Mosaic Ventures,https://www.crunchbase.com/organization/mosaic-ventures,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",64,hello@mosaicventures.com
Fasanara Capital,https://www.crunchbase.com/organization/fasanara-capital,"London, England, United Kingdom","Asset Management, Financial Services, Hedge Funds",55,investor.relations@fasanara.com
Digital Ocean Ventures Starter,https://www.crunchbase.com/organization/digital-ocean-ventures,"Warsaw, Mazowieckie, Poland","Financial Services, Internet, Software",6,office@digitalocean.ventures
Presto Ventures,https://www.crunchbase.com/organization/presto-ventures,"Prague, Hlavni mesto Praha, Czech Republic","Business Development, Finance, Venture Capital",61,hello@prestoventures.com
OpenOcean,https://www.crunchbase.com/organization/open-ocean,"Helsinki, Southern Finland, Finland","B2B, Big Data, Enterprise Software, Quantum Computing, Software, Venture Capital",47,info@openocean.vc
Alma Mundi Ventures,https://www.crunchbase.com/organization/alma-mundi-venture,"Madrid, Madrid, Spain","Financial Services, FinTech, InsurTech, Venture Capital",70,contact@mundiventures.com
Indico Capital Partners,https://www.crunchbase.com/organization/indico-capital-partners,"Lisbon, Lisboa, Portugal","Financial Services, Marketplace, Software, Venture Capital",41,investors@indicocapital.com
Scottish Enterprise,https://www.crunchbase.com/organization/scottish-enterprise,"Glasgow, Glasgow City, United Kingdom","Finance, Government, Venture Capital",261,enquiries@scotent.co.uk
Ananda Impact Ventures,https://www.crunchbase.com/organization/ananda-ventures-gmbh-social-venture-fund,"Munich, Bayern, Germany","Finance, Impact Investing, Venture Capital",45,info@ananda.vc
Demium,https://www.crunchbase.com/organization/demiumstartups,"Valencia, Comunidad Valenciana, Spain","Business Development, Finance, Incubators, Information Technology, Marketing",45,hello@demium.com
KPMG,https://www.crunchbase.com/organization/kpmg,"London, England, United Kingdom","Accounting, Advice, Big Data, Consulting, Financial Services, Information Technology, Legal, Management Consulting, Professional Services",26,digital@kpmg.com
PeakBridge,https://www.crunchbase.com/organization/peakbridge,"Valletta, NA - Malta, Malta","Financial Services, Food and Beverage, Venture Capital",31,martina@peakbridge.vc
Launchbay Capital,https://www.crunchbase.com/organization/digital-horizon,"London, England, United Kingdom","E-Commerce, Finance, Financial Services, FinTech, Venture Capital",51,hello@launchbaycapital.com
Talis Capital,https://www.crunchbase.com/organization/talis-capital,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",58,info@taliscapital.com
J&T Ventures,https://www.crunchbase.com/organization/j-t-ventures,"Prague, Hlavni mesto Praha, Czech Republic","FinTech, Venture Capital",34,info@jtventures.cz
LAUNCHub Ventures,https://www.crunchbase.com/organization/launchub,"Sofia, Grad Sofiya, Bulgaria","Finance, Financial Services, Venture Capital",104,info@launchub.com
IBB Ventures,https://www.crunchbase.com/organization/ibb,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",176,info@ibbventures.de
Lunar Ventures,https://www.crunchbase.com/organization/lunar-ventures,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Cloud Computing, Computer Vision, Cyber Security, Finance, Financial Services, Information and Communications Technology (ICT), Machine Learning, Simulation, Venture Capital",24,hello@lunarventures.eu
Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,"Berlin, Berlin, Germany",Venture Capital,131,info@atlanticlabs.de
Vaekstfonden,https://www.crunchbase.com/organization/vækstfonden,"Hellerup, Hovedstaden, Denmark","Finance, Financial Services, Venture Capital",206,vf@vf.dk
Midven,https://www.crunchbase.com/organization/midven,"Birmingham, Birmingham, United Kingdom","Finance, Financial Services, Venture Capital",115,enquiries@midven.com
Axeleo Capital,https://www.crunchbase.com/organization/axeleo-sas,"Lyon, Rhone-Alpes, France",Venture Capital,72,contact@axc.vc
Luminar Ventures,https://www.crunchbase.com/organization/luminar-ventures,"Stockholm, Stockholms Lan, Sweden","Big Data, Education, Finance, Financial Services, Information Technology, Venture Capital",38,info@luminarventures.com
Bullnet Capital,https://www.crunchbase.com/organization/bullnet-gestion,"Pozuelo De Alarcón, Madrid, Spain",Venture Capital,27,julecia@bullnetcapital.com
Wind,https://www.crunchbase.com/organization/wind-capital,"Paris, Ile-de-France, France","Financial Services, Lending, Venture Capital",56,hello@wind.capital
SeedBlink,https://www.crunchbase.com/organization/seedblink,"Bucharest, Bucuresti, Romania","Apps, Artificial Intelligence (AI), Biotechnology, Cyber Security, EdTech, Financial Services, FinTech, Machine Learning, Property Management, Software",86,investors@seedblink.com
Polytechnique Ventures,https://www.crunchbase.com/organization/polytechnique-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Social Entrepreneurship, Venture Capital",16,contact@polytechnique-ventures.fr
Green Generation Fund,https://www.crunchbase.com/organization/green-generation-fund,"Berlin, Berlin, Germany","AgTech, Food and Beverage, Green Consumer Goods, GreenTech, Impact Investing, Renewable Energy",22,info@greengenfund.com
Accelerace,https://www.crunchbase.com/organization/accelerace,"Copenhagen, Hovedstaden, Denmark","Biotechnology, Blockchain, CleanTech, Consulting, EdTech, Financial Services, FinTech, Food and Beverage, Health Care, Internet of Things",62,info@accelerace.io
Btomorrow Ventures,https://www.crunchbase.com/organization/btomorrow-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",23,contact@btomorrowv.com
World Fund,https://www.crunchbase.com/organization/world-fund,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",21,brightfuture@worldfund.vc
Nestcoin,https://www.crunchbase.com/organization/nestcoin,"Tórtola, Castilla-La Mancha, Spain","Cryptocurrency, Information Technology, Web3",4,Haroldcarey888@gmail.com
UVC Partners,https://www.crunchbase.com/organization/uvc-partners,"Garching, Bayern, Germany","Finance, Financial Services, Venture Capital",58,pitch@uvcpartners.com
NLC,https://www.crunchbase.com/organization/nlc-accelerating-healthtech-inventions,"Amsterdam, Noord-Holland, The Netherlands","Biopharma, Health Care, Health Diagnostics, Innovation Management, Medical, Medical Device, mHealth, Personal Health, Venture Capital",37,info@nlc.health
Luno,https://www.crunchbase.com/organization/lunomoney,"London, England, United Kingdom","Cryptocurrency, Financial Services, Virtual Currency",5,support@luno.com
Innovestor,https://www.crunchbase.com/organization/innovestor,"Helsinki, Southern Finland, Finland","Angel Investment, Finance, Financial Services, Venture Capital",66,info@innovestor.fi
Orange Ventures,https://www.crunchbase.com/organization/orange-digital-ventures,"Paris, Ile-de-France, France","Big Data, Enterprise Software, Finance, Financial Services, FinTech, Internet of Things, Venture Capital, Wireless",58,digital.ventures@orange.com
TGFS - Technologiegründerfonds Sachsen,https://www.crunchbase.com/organization/technologiegrnderfonds-sachsen,"Leipzig, Sachsen, Germany","Enterprise Software, Venture Capital",100,info@tgfs.de
VI Partners,https://www.crunchbase.com/organization/vi-partners,"Altendorf, Schwyz, Switzerland","Health Care, Information Technology, Life Science, Venture Capital",63,funding@vipartners.ch
Ring Capital,https://www.crunchbase.com/organization/ring-capital,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",47,contact@ringcp.com
Demeter,https://www.crunchbase.com/organization/demeter-1e8a,"Paris, Ile-de-France, France","CleanTech, Financial Services, Product Design, Venture Capital",66,contact@demeter-im.com
Development Bank of Wales,https://www.crunchbase.com/organization/development-bank-of-wales,"Cardiff, Cardiff, United Kingdom","Banking, Commercial, Commercial Lending, Finance, Financial Services",226,info@developmentbank.wales
Boğaziçi Ventures,https://www.crunchbase.com/organization/boğaziçi-ventures,"Istanbul, Istanbul, Turkey","Asset Management, Financial Services, FinTech, Gaming, Hedge Funds, Impact Investing, Retail Technology, Venture Capital",55,info@bogaziciventures.com
SmartFin,https://www.crunchbase.com/organization/smartfin,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Venture Capital,27,info@smartfinvc.com
Tera Ventures,https://www.crunchbase.com/organization/tera-ventures,"Tallinn, Harjumaa, Estonia","Artificial Intelligence (AI), B2B, Cyber Security, E-Commerce, Enterprise Software, Finance, Financial Services, Legal Tech, Product Design, PropTech",37,tera@tera.vc
Finch Capital,https://www.crunchbase.com/organization/finch-capital,"Amsterdam, Noord-Holland, The Netherlands","Financial Services, FinTech, InsurTech, Venture Capital",44,info@finchcapital.com
Draper B1,https://www.crunchbase.com/organization/draper-b1,"Valencia, Comunidad Valenciana, Spain","B2B, B2C, Financial Services, Internet, Mobile, Venture Capital",75,info@draperb1.vc
GapMinder VC,https://www.crunchbase.com/organization/gapminder-vc,"Bucharest, Bucuresti, Romania","Analytics, Artificial Intelligence (AI), Business Intelligence, Cyber Security, Developer Tools, Enterprise Software, FinTech, Generative AI, Machine Learning, Natural Language Processing",38,contact@gapminder.vc
Karista,https://www.crunchbase.com/organization/karista,"Paris, Ile-de-France, France",Venture Capital,94,contact@karista.vc
Delta Partners,https://www.crunchbase.com/organization/delta-partners,"Leopardstown, Dublin, Ireland","Finance, Financial Services, Venture Capital",74,info@deltapartners.com
Blazar Capital,https://www.crunchbase.com/organization/blazar-capital,"Copenhagen, Hovedstaden, Denmark","Consumer Goods, Venture Capital",7,hello@blazarcapital.com
Scottish Equity Partners,https://www.crunchbase.com/organization/scottish-equity-partners,"Glasgow, Glasgow City, United Kingdom","Finance, Financial Services, Venture Capital",103,enquiries@sep.co.uk
Unilever Ventures,https://www.crunchbase.com/organization/unilever-ventures,"London, England, United Kingdom","Financial Services, Venture Capital",101,uv.investments@unilever.com
Bayern Kapital,https://www.crunchbase.com/organization/bayern-kapital,"Landshut, Bayern, Germany","Business Development, Financial Services, Venture Capital",171,info@bayernkapital.de
BY Venture Partners,https://www.crunchbase.com/organization/by-venture-partners,"St. Helier, NA - Jersey, Jersey","Asset Management, Financial Services, Venture Capital",48,info@byvp.com
LC Ventures,https://www.crunchbase.com/organization/lc-ventures,"Lisbon, Lisboa, Portugal",Venture Capital,19,info@lcv.pt
C4 Ventures,https://www.crunchbase.com/organization/c4-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",49,hello@c4v.com
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Berlin, Berlin, Germany","Finance, Financial Services, Impact Investing, Venture Capital",705,contact@globalfounderscapital.com
Arweave,https://www.crunchbase.com/organization/arweave,"Holborn, Camden, United Kingdom","Blockchain, Cryptocurrency, Data Storage, Internet",31,team@arweave.org
PT1,https://www.crunchbase.com/organization/proptech1-ventures,"Berlin, Berlin, Germany","Commercial Real Estate, Construction, Energy Efficiency, Energy Storage, Infrastructure, Real Estate, Real Estate Investment, Venture Capital",25,info@pt1.vc
VERSO Capital,https://www.crunchbase.com/organization/versoholdings,"Luxembourg, Luxembourg, Belgium","Artificial Intelligence (AI), Construction, Consumer Software, Enterprise Software, Financial Services, FinTech, Real Estate, Real Estate Investment, Retail Technology, Software",17,versoenquiries@gmail.com
Frontline Ventures,https://www.crunchbase.com/organization/frontline-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",106,info@frontline.vc
RePie Asset Management,https://www.crunchbase.com/organization/re-pie-asset-management,"Istanbul, Istanbul, Turkey","B2B, B2C, Delivery, Financial Services, Home Health Care, Venture Capital",44,info@re-pie.com
Alliance VC,https://www.crunchbase.com/organization/alliance-venture,"Oslo, Oslo, Norway",Venture Capital,47,hello@alliance.vc
CapHorn Invest,https://www.crunchbase.com/organization/caphorn-invest,"Paris, Ile-de-France, France","B2B, Finance, Financial Services, FinTech, Impact Investing, Venture Capital",50,info@caphorn.vc
Osney Capital,https://www.crunchbase.com/organization/osney-capital,"Oxford, Oxfordshire, United Kingdom","Cyber Security, Financial Services, Information Technology, Internet, Software",8,info@osneycapital.com
Zubr Capital,https://www.crunchbase.com/organization/zubr-capital,"Limassol, Limassol, Cyprus","Classifieds, Cloud Data Services, E-Commerce, EdTech, FinTech, SaaS",18,info@zubrcapital.com
Vendep Capital,https://www.crunchbase.com/organization/vendepcapital,"Espoo, Southern Finland, Finland","B2B, Financial Services, Venture Capital",35,info@vendep.com
The Family,https://www.crunchbase.com/organization/thefamily,"Paris, Ile-de-France, France","Financial Services, Funding Platform, Venture Capital",70,welcome@thefamily.co
Hoxton Ventures,https://www.crunchbase.com/organization/hoxton-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",73,info@hoxton.vc
Conviction VC,https://www.crunchbase.com/organization/conviction-vc,"London, England, United Kingdom","B2B, Professional Services, SaaS, Venture Capital",31,info@conviction-vc.com
Vorwerk Ventures,https://www.crunchbase.com/organization/vorwerk-direct-selling-ventures,"Berlin, Berlin, Germany",Venture Capital,54,vorwerk-ventures@vorwerkventures.com
Trind Ventures,https://www.crunchbase.com/organization/trind-ventures,"Tallinn, Harjumaa, Estonia","Finance, Financial Services, Venture Capital",31,trind@trind.vc
Funderbeam,https://www.crunchbase.com/organization/funderbeam,"London, England, United Kingdom","Big Data, Business Intelligence, Crowdfunding, Financial Services, Trading Platform",13,hello@funderbeam.com
Movens Capital,https://www.crunchbase.com/organization/movens-capital,"Warsaw, Mazowieckie, Poland","Marketplace, SaaS, Venture Capital",24,info@movenscapital.com
Export and Investment Fund,https://www.crunchbase.com/organization/export-and-investment-fund,"Hellerup, Hovedstaden, Denmark","Finance, Financial Services, Venture Capital",85,reception@eifo.dk
Elaia,https://www.crunchbase.com/organization/elaia-partners,"Paris, Ile-de-France, France","B2B, Financial Services, Venture Capital",140,contact@elaia.com
DvH Ventures,https://www.crunchbase.com/organization/dvh-ventures,"Köln, Nordrhein-Westfalen, Germany","Education, FinTech, Health Care, Venture Capital",39,deals@dvhventures.de
Extension Fund,https://www.crunchbase.com/organization/the-extension-fund-scr-pyme,"Barcelona, Catalonia, Spain","Finance, Financial Services, Venture Capital",19,hello@extensionfund.com
Butterfly Ventures,https://www.crunchbase.com/organization/butterfly-ventures,"Oulu, Oulu, Finland","Banking, Finance, Venture Capital",67,juho@butterfly.vc
BONVENTURE,https://www.crunchbase.com/organization/bonventure,"Munich, Bayern, Germany","Education, Health Care, Impact Investing, Social Entrepreneurship, Sustainability, Venture Capital",27,info@bonventure.de
Investisseurs & Partenaires,https://www.crunchbase.com/organization/investisseurs-and-partenaires,"Paris, Ile-de-France, France","Angel Investment, Financial Exchanges, Financial Services, Impact Investing, Small and Medium Businesses",103,info@ietp.com
BioGeneration Ventures,https://www.crunchbase.com/organization/biogeneration-ventures,"Naarden, Noord-Holland, The Netherlands","Financial Services, Life Science, Venture Capital",42,info@biogeneration.vc
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"Swindon, Wiltshire, United Kingdom","Finance, Financial Services, Government",960,support@innovateuk.ukri.org
TIIN Capital,https://www.crunchbase.com/organization/tiin-capital,"Naarden, Noord-Holland, The Netherlands","Cyber Security, Financial Services, FinTech, Internet of Things, Security, Venture Capital",53,dekoste@tiincapital.nl
Fil Rouge Capital (FRC),https://www.crunchbase.com/organization/fil-rouge-capital-frc,"Zagreb, Grad Zagreb, Croatia","Finance, Venture Capital",117,info@filrougecapital.com
bValue Fund,https://www.crunchbase.com/organization/bvalue-angels,"Warszawa, Mazowieckie, Poland","Financial Services, Information Technology, Internet, Internet of Things, Marketing, Venture Capital, Web Design, Web Development",36,info@bvaluefund.com
Scientifica Venture Capital,https://www.crunchbase.com/organization/scientifica-venture-capital,"Roma, Lazio, Italy","Angel Investment, Impact Investing, Venture Capital",12,info@scientifica.vc
Keyrock,https://www.crunchbase.com/organization/keyrock,"Woluwé-saint-pierre, Brussels Hoofdstedelijk Gewest, Belgium","Asset Management, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech",9,info@keyrock.eu
InReach Ventures,https://www.crunchbase.com/organization/inreach-ventures,"London, England, United Kingdom","Artificial Intelligence (AI), Finance, Financial Services, FinTech, Software, Venture Capital",34,info@inreachventures.com
Oxford Science Enterprises,https://www.crunchbase.com/organization/oxford-sciences-innovation,"Oxford, Oxfordshire, United Kingdom","Asset Management, Business Development, Finance, Higher Education, Life Science, Venture Capital",86,hello@oxfordsciences.com
Transition,https://www.crunchbase.com/organization/transition-c21b,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",16,hello@transition.vc
Lead Ventures,https://www.crunchbase.com/organization/lead-ventures,"Budapest, Budapest, Hungary","Automotive, Energy Storage, Financial Services, FinTech, Internet of Things, Renewable Energy, Retail Technology, Sustainability, Waste Management, Water",21,info@leadventures.eu
Ukrainian Startup Fund,https://www.crunchbase.com/organization/ukrainian-startup-fund,"Kyiv, Kyyiv, Ukraine","Finance, Financial Services, Funding Platform, Information Technology",214,support@usf.com.ua
The FSE Group,https://www.crunchbase.com/organization/finance-south-east,"Fleet, Hampshire, United Kingdom","Finance, Financial Services, Non Profit, Venture Capital",193,fundingenquiries@thefsegroup.com
Big Sur Ventures,https://www.crunchbase.com/organization/big-sur-ventures,"Madrid, Madrid, Spain",Venture Capital,45,info@bigsurventures.vc
Enso Finance,https://www.crunchbase.com/organization/enso-finance,"Zürich, Zurich, Switzerland","Blockchain, Cryptocurrency, Ethereum, Finance, FinTech, Peer to Peer",1,info@enso.finance
Raiffeisen Bank International,https://www.crunchbase.com/organization/raiffeisen-bank,"Vienna, Wien, Austria","Asset Management, Banking, Finance, Financial Exchanges, Financial Services, FinTech, Lending",15,customer@rbinternational.com
Ace Capital Partners,https://www.crunchbase.com/organization/ace-capital-partners,"Paris, Ile-de-France, France",Financial Services,39,Paulgregory0000@gmail.com
Expon Capital,https://www.crunchbase.com/organization/expon-capital,"Luxembourg, Luxembourg, Luxembourg",Venture Capital,34,info@exponcapital.com
IKIGAI,https://www.crunchbase.com/organization/ikigai-8cc9,"Siena, Toscana, Italy","Impact Investing, Incubators, Social Entrepreneurship, Social Impact, Venture Capital",44,info@ikigaihub.it
Argo Blockchain,https://www.crunchbase.com/organization/argo-blockchain-plc,"London, England, United Kingdom","Blockchain, Cryptocurrency, Information Technology, Smart Contracts",3,support@argoblockchain.com
Serena,https://www.crunchbase.com/organization/serena-capital,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",100,contact@serena.vc
Eleving Group,https://www.crunchbase.com/organization/eleving-group,"Riga, Riga, Latvia","Auto Insurance, Automotive, Finance, Financial Services",2,info@eleving.com
TechVision Fund,https://www.crunchbase.com/organization/techvision-fonds,"Aachen, Nordrhein-Westfalen, Germany","Financial Services, Venture Capital",39,info@techvision-fonds.de
14Peaks Capital,https://www.crunchbase.com/organization/14peaks-capital,"Zug, Zug, Switzerland","Analytics, Data Management, Enterprise Software, FinTech, Human Resources, Productivity Tools",14,founders@14peaks.capital
Portfolio Ventures,https://www.crunchbase.com/organization/portfolio-ventures,"London, England, United Kingdom",Financial Services,48,hello@portfolio.ventures
Antai Ventures,https://www.crunchbase.com/organization/antai-venture-builder,"Barcelona, Catalonia, Spain","Angel Investment, Financial Services, Impact Investing, Incubators, Venture Capital",22,hola@antaivb.com
Deepbridge Capital,https://www.crunchbase.com/organization/deepbridge-capital,"Chester, Cheshire, United Kingdom","Finance, Financial Services, Venture Capital",63,info@deepbridgecapital.com
Greencode Ventures,https://www.crunchbase.com/organization/greencode-ventures,"Helsinki, Southern Finland, Finland",Venture Capital,11,hello@greencode.vc
OSS Ventures,https://www.crunchbase.com/organization/oss-ventures,"Paris, Ile-de-France, France","Manufacturing, Software, Venture Capital",8,admin@oss.ventures
Clave,https://www.crunchbase.com/organization/clave,"Pamplona, Navarra, Spain",Financial Services,27,info@clave.capital
Startuplab,https://www.crunchbase.com/organization/startup-lab,"Oslo, Oslo, Norway","Business Development, Incubators, Venture Capital",50,gisle@startuplab.no
Bcombinator Venture Partners,https://www.crunchbase.com/organization/bcombinator,"Barcelona, Catalonia, Spain","Corporate Training, Incubators, Innovation Management, Venture Capital",43,info@bcombinator.com
EASO Ventures,https://www.crunchbase.com/organization/easo-ventures,"San Sebastian, Pais Vasco, Spain","Automotive, Cyber Security, Industrial, Manufacturing, Venture Capital",45,easo@easoventures.com
FPE Capital,https://www.crunchbase.com/organization/fpe-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",14,peenquiries@fpecapital.com
ScaleX Ventures,https://www.crunchbase.com/organization/scalex-ventures,"Sisli, Istanbul, Turkey",Venture Capital,25,contact@scalexventures.com
Nazca Capital,https://www.crunchbase.com/organization/nazca-capital,"Madrid, Madrid, Spain",Financial Services,7,info@nazca.es
Sting,https://www.crunchbase.com/organization/stockholm-innovation-and-growth,"Stockholm, Stockholms Lan, Sweden","Finance, Incubators, Information Technology",297,maria.ljungberg@sting.co
Diffusion Capital Partners,https://www.crunchbase.com/organization/diffusion-capital-partners,"Istanbul, Istanbul, Turkey","Financial Services, Venture Capital",32,contact@dcp.vc
ChromaWay,https://www.crunchbase.com/organization/chromaway,"Stockholm, Stockholms Lan, Sweden","Apps, B2B, Blockchain, Enterprise Software, Financial Services, Infrastructure, Open Source",5,info@chromaway.com
Conexo Ventures,https://www.crunchbase.com/organization/conexo-ventures,"Madrid, Madrid, Spain","Cyber Security, FinTech, Information Technology, Venture Capital",22,info@conexo.vc
PUSH VC,https://www.crunchbase.com/organization/push-ventures,"Vienna, Wien, Austria","Finance, GreenTech, Health Care, Venture Capital",27,office@push.vc
Wellstreet,https://www.crunchbase.com/organization/wellstreet,"Stockholm, Stockholms Lan, Sweden","Digital Marketing, Infrastructure, Venture Capital",54,info@wellstreet.vc
Frumtak Ventures,https://www.crunchbase.com/organization/frumtak,"Reykjavík, Gullbringusysla, Iceland","Finance, Financial Services, Venture Capital",25,frumtak@frumtak.is
EquityPitcher Ventures,https://www.crunchbase.com/organization/equitypitcher,"Zürich, Zurich, Switzerland",Venture Capital,33,info@equitypitcher.com
Supernode Global,https://www.crunchbase.com/organization/rooks-nest-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",32,info@supernodeglobal.com
Blockwall,https://www.crunchbase.com/organization/blockwall-management-gmbh,"Frankfurt, Hessen, Germany","Blockchain, Financial Services, Venture Capital",25,hello@blockwall.vc
MAIF Avenir,https://www.crunchbase.com/organization/maif-avenir,"Paris, Ile-de-France, France",Venture Capital,42,contact@maif-avenir.com
JamJar Investments,https://www.crunchbase.com/organization/jamjar-investments,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",88,invest@jamjarinvestments.com
Visionaries Club,https://www.crunchbase.com/organization/visionaries-club,"Berlin, Berlin, Germany","Angel Investment, Financial Services, Venture Capital",45,hi@visionariesclub.vc
Kingsway Capital,https://www.crunchbase.com/organization/kingsway-capital,"London, England, United Kingdom","Finance, Financial Services",73,info@kingswaycap.com
Acrobator Ventures,https://www.crunchbase.com/organization/acrobator-ventures,"Amsterdam, Noord-Holland, The Netherlands",Venture Capital,19,joachim@acrobator.vc
Celsius Network,https://www.crunchbase.com/organization/celsius-network,"London, England, United Kingdom","Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech",6,hello@celsius.network
Mintos,https://www.crunchbase.com/organization/mintos,"Riga, Riga, Latvia","Financial Services, FinTech, Wealth Management",2,info@mintos.com
Tilia Impact Ventures,https://www.crunchbase.com/organization/tilia-impact-ventures,"Prague, Hlavni mesto Praha, Czech Republic","Impact Investing, Venture Capital",16,info@tiliaimpactventures.cz
Companisto,https://www.crunchbase.com/organization/companisto,"Berlin, Berlin, Germany","Angel Investment, Crowdfunding, Finance, Financial Services, FinTech, Venture Capital",22,info@companisto.com
ICF Capital,https://www.crunchbase.com/organization/institut-catal-de-finances-icf,"Barcelona, Catalonia, Spain","Banking, Finance, Financial Services, Venture Capital",83,infoifem@icf.cat
