Organization/Person Name,Website,Contact Email
KREAXI,http://www.kreaxi.com,contact@kreaxi.com
Visionaries Club,https://visionaries.vc,hi@visionariesclub.vc
E-Merge,http://www.emerge.be,info@emerge.be
seed + speed,http://www.seedandspeed.com,info@seedandspeed.de
Calculus Capital,http://www.calculuscapital.com/,info@calculuscapital.com
Maersk Growth,https://www.maersk.com/growth,growth@maersk.com
ABC Accelerator,https://abc-accelerator.com,info@abc-accelerator.com
xEdu,http://xedu.co/,info@xedu.co
Invest-NL,https://www.invest-nl.nl/,info@invest-nl.nl
Innovation Industries,https://www.innovationindustries.com,info@innovationindustries.com
TrueSight Ventures,https://www.truesight.vc,info@truesight.vc
Advent Life Sciences,http://www.adventls.com/,contact@adventLS.com
bm-t beteiligungsmanagement thuringen,https://www.bm-t.com/,info@bm-t.com
European Data Incubator,https://edincubator.eu,info@edincubator.eu
Expon Capital,http://www.exponcapital.com/,info@exponcapital.com
GapMinder VC,http://gapminder.vc/,contact@gapminder.vc
NVM Private Equity,http://www.nvm.co.uk,newcastle@nvm.co.uk
Bridges Fund Management,http://www.bridgesfundmanagement.com/,info@bridgesfundmanagement.com
Prime Ventures,http://www.primeventures.com,info@primeventures.com
LIFTT,https://www.liftt.com,info@liftt.com
NextStage,http://www.nextstage.com,info-investor@nextstage.com
Partnerinvest Norr,http://www.partnerinvestnorr.se,lena@partnerinvestnorr.se
Partners Group,http://www.partnersgroup.com,partnersgroup@partnersgroup.com
Ananda Impact Ventures,https://ananda.vc/,info@ananda.vc
Gorilla Capital,https://www.gorillacapital.fi/,petri@gorillacapital.fi
EASO Ventures,http://www.easoventures.com,easo@easoventures.com
DvH Ventures,http://dvhventures.de/,deals@dvhventures.de
Marshall Wace,https://www.mwam.com,mwam@mwam.com
Lundbeckfonden Ventures,https://lundbeckfonden.com,ventures@lundbeckfonden.com
Holland Capital,https://hollandcapital.nl,info@hollandventure.com
Galata Business Angels,http://www.galatabusinessangels.com,info@galatabusinessangels.com
iStarter,http://www.istarter.it,team@istarter.it
Burda Principal Investments,http://www.burdaprincipalinvestments.com/,investments@burda.com
RePie Asset Management,http://www.re-pie.com/,info@re-pie.com
Senovo,https://www.senovo.vc/,info@senovo.vc
Creator Fund,https://www.thecreatorfund.com/,hello@thecreatorfund.com
SevenVentures,http://sevenventures.de,info@sevenventures.de
The Austrian Research Promotion Agency (FFG),https://www.ffg.at,office@ffg.at
Woodford Investment Management,https://woodfordfunds.com/,info@woodfordfunds.com
Pitchdrive,https://www.pitchdrive.com,info@pitchdrive.com
NatWest Group,https://natwestgroup.com,in.service@rbs.com
BioGeneration Ventures,http://www.biogenerationventures.com,info@biogeneration.vc
BeAble Capital,http://www.beablecapital.com,info@beablecapital.com
Tera Ventures,https://tera.vc/,tera@tera.vc
ZAKA VC,https://zaka.vc/,hey@zaka.vc
IXO Private Equity,http://www.ixope.fr,contact@ixope.fr
TRICAPITAL,http://www.tricapital.co.uk,marketing@tricapital.co.uk
Oxford University Innovation,https://innovation.ox.ac.uk/,enquiries@innovation.ox.ac.uk
Forward Venture Capital,http://forwardvc.com/,info@forwardvc.com
Mastercard Start Path,https://startpath.mastercard.com,info@startpath.com
CommerzVentures,http://www.commerzventures.com,info@commerzventures.com
responsAbility Investments,http://www.responsability.com,info@responsAbility.com
3TS Capital Partners,http://www.3tscapital.com,info@3tscapital.com
Wellstreet,http://www.wellstreet.se,info@wellstreet.vc
HBAN,http://www.hban.org,info@hban.org
Rancilio Cube Sicaf,http://www.ranciliocubesicaf.com/,info@ranciliocube.com
Impulse VC,http://impulsevc.com,start@impulsevc.com
Baring Vostok Capital Partners,http://www.baring-vostok.com/,info@bvcp.ru
EV Private Equity,https://www.evprivateequity.no/,ap@evpe.com
Industri Udvikling A/S,http://www.industriudvikling.dk,iu@industriudvikling.dk
Fortino Capital,https://fortinocapital.com/,antwerp@fortinocapital.com
The Twenty Minute VC,http://www.thetwentyminutevc.com,amy@x.ai
Angular Ventures,http://www.angularventures.com,info@angularventures.com
henQ,https://henq.vc/,applications@henq.vc
M&G Investments,https://www.mandg.com/investments/hub?utm_source=vanity&utm_medium=301&utm_campaign=https://www.mandg.com/investments#,info@mandg.co.uk
Thuja Capital,http://thujacapital.com,mb@thujacapital.com
Vertis,https://www.vertis.it/,vertis@vertis.it
Albion Capital Group,https://www.albion.capital/,info@albion.capital
TIIN Capital,http://tiincapital.nl,dekoste@tiincapital.nl
ABN AMRO Fund,http://www.abnamro.nl,digital.impact.fund@nl.abanmro.com
Verlinvest,http://www.verlinvest.com,info-bru@verlinvest.com
EDFI ElectriFI,http://electrifi.eu,electrifi@edfimc.eu
Charlotte Street Capital,http://www.charlottestreetcapital.com,tom@charlottestreetcapital.com
METRO Xcel,http://www.metroaccelerator.com,info@metroaccelerator.com
Innovation Capital,http://www.innovationcapital.fr/,businessplan@innovationcapital.fr
Sweet Capital,http://www.sweetcapital.com,founders@sweetcapital.com
Change Ventures,http://www.changeventures.com,info@changeventures.com
Hg,http://www.hgcapital.com,info@hgcapital.com
BlackFin Capital Partners,https://www.blackfin.com/,contact@blackfin.com
Avonmore Developments,http://www.avonmoredevelopments.com,contact@avonmoredevelopments.com
Virgin Group,https://www.virgin.com/virgingroup,contactus@virgin.com
BY Venture Partners,https://byvp.com/,info@byvp.com
Indico Capital Partners,https://www.indicocapital.com/,investors@indicocapital.com
XTX Ventures,https://www.xtxmarkets.com/ventures/,ventures@xtxmarkets.com
SET Ventures,http://www.setventures.com/,info@setventures.com
Spintop Ventures,http://spintopventures.com,finn.persson@spintopventures.com
212,http://www.212.vc,info@212.vc
TLcom Capital Partners,http://www.tlcomcapital.com,info@tlcomcapital.com
Truffle Capital,http://www.truffle.com,contact@truffle.com
Market One Capital,http://www.moc.vc,office@moc.vc
German Federal Ministry of Education and Research,https://www.bmbf.de,information@bmbf.bund.de
Via ID,http://www.via-id.com/,hello@via-id.com
A Plus Finance,http://www.aplusfinance.com,contact@aplusfinance.com
tecnet equity,https://www.tecnet.at/,office@tecnet.at
Generis Capital Partners,http://www.generiscapital.com/index.html,generis@generiscapital.com
Pembroke VCT,http://www.pembrokevct.com/,info@pembrokevct.com
Samos Investments,http://www.samos.vc,contact@samos.vc
Luminar Ventures,https://www.luminarventures.com/,info@luminarventures.com
Mérieux Equity Partners,https://www.merieux-partners.com/,info@merieux-partners.com
Vesalius Biocapital Partners,http://www.vesaliusbiocapital.com,info@vesaliusbiocapital.com
Mobeus Equity Partners,https://www.mobeus.co.uk,info@mobeus.co.uk
MAIF Avenir,https://www.maif-avenir.fr/,contact@maif-avenir.com
Bcombinator Venture Partners,https://www.bcombinator.com/,info@bcombinator.com
CapMan,http://www.capman.com,info@capman.com
TT Ventures,https://ttventures.com.tr/,ttventures@turktelekom.com
Ferd,http://www.ferd.no,oppsigelse@ferd.no
LU Innovation,http://www.luinnovation.lu.se/en,info@innovation.lu.se
Fast Track Malmo,http://www.fasttrackmalmo.com/,nino@fasttrackmalmo.com
Cur8 Capital,https://cur8.capital,team@cur8.capital
Nordic Capital,http://www.nordiccapital.com,security@nordiccapital.com
IKIGAI,https://www.ikigaihub.it,info@ikigaihub.it
Kresge Foundation,http://kresge.org,stayconnected@kresge.org
South Central Ventures,http://sc-ventures.com/,info@sc-ventures.com
InMotion Ventures,https://www.inmotionventures.com,inmotion@jaguarlandrover.com
Neosfer,https://www.neosfer.com,info@neosfer.com
Novator,http://www.novator.co.uk,info@novator.co.uk
Jets Capital,https://jets.capital/,info@jetscapital.com
Boost Heroes,https://boostheroes.com/,loris@sharkbites.co
Galia Gestion,http://www.galia-gestion.com,contact@galia-gestion.com
Reaktor Ventures,http://reaktorventures.com,contact@reaktorventures.com
EXIST,http://www.exist.de,info@existstartupgermany.com
APEX Ventures,http://www.apex.ventures,office@apex.ventures
British Business Bank,http://british-business-bank.co.uk,info@british-business-bank.co.uk
Vsquared Ventures,https://www.vsquared.vc/,future@vsquared.vc
Specialist VC,https://www.specialist.vc/,gerri.kodres@unitedangels.vc
SHIFT Invest,http://www.shiftinvest.com/,info@shiftinvest.com
Viking Venture,http://www.vikingventure.com,saas@vikingventure.com
SpeedUp Venture Capital Group,http://speedupgroup.com,info@speedupgroup.com
Green Angel Ventures,http://www.greenangelsyndicate.com/,nick@greenangelsyndicate.com
West Hill Capital,http://www.westhillcapital.co.uk/,enquiries@westhillcapital.co.uk
"Founderheads,",https://founderheads.com,hello@founderheads.com
AQUITI Gestion,http://www.aquiti.fr,contact@aquiti.fr
Agentschap Innoveren & Ondernemen,http://www.vlaio.be,info@vlaio.be
The Spinoff,https://www.thespinoff.eu/,launch@thespinoff.eu
BackBone Ventures,https://www.backbone.vc,hello@bbventures.ch
Grosvenor Food & AgTech,http://www.grosvenor.com/food-agtech,GFA-Investment.Team@grosvenor.com
Investitionsbank Berlin,http://www.ibb.de,info@ibb.de
Permira,http://www.permira.com,media@permira.com
N1,https://n1.rocks/,marek@n1.rocks
Bynd Venture Capital,https://bynd.vc/,bynd@bynd.vc
Rubio Impact Ventures,https://www.rubio.vc,info@rubio.vc
Explorer Investments,http://www.explorerinvestments.com/,explorer@explorerinvestments.com
Graduate Entrepreneur Fund,https://www.graduate.nl/,hello@graduate.nl
AddVenture,http://addventure.vc,apply@addventure.vc
eQventure,http://www.eqventure.com/,office@eqventure.com
Lighthouse Ventures,https://lhv.vc,contact@lhv.vc
Black Pearls VC,http://blackpearls.vc/,office@blackpearls.vc
Clarendon Fund Managers,http://www.clarendon-fm.co.uk,info@clarendon-fm.co.uk
StartersHub,https://startershub.com,hello@startershub.com
HBM Partners,http://www.hbmpartners.com,lesieur@hbmcayman.com
Bonnier Ventures,http://www.bonnierventures.com,bv@bonnier.se
Monkfish Equity,http://www.monkfish-equity.com/,info@monkfish-equity.com
Nova Growth Capital,https://novagrowthcapital.co.uk,fund@novagrowthcapital.co.uk
ProSiebenSat.1 Accelerator,http://www.p7s1accelerator.com/,accelerator@prosiebensat1.com
Syngenta Ventures,https://www.syngentaventures.com,info@mriseed.com
Medicxi,https://www.medicxi.com,info@medicxi.com
Anterra Capital,http://www.anterracapital.com/,office@anterracapital.com
Altor,http://www.altor.com,info@altor.com
Sustainable Ventures,http://www.sustainableventures.co.uk,contact@sustainableventures.co.uk
Blossom Capital,http://www.blossomcap.com/,hello@blossomcap.com
CV VC,https://cvvc.com/,hello@cvvc.com
Technology Fund,http://technologyfund.ch/,info@technologiefonds.ch
BOOST&Co,http://boostandco.com/,info@boostandco.com
Digital Attraxion,https://www.digital-attraxion.com,info@digital-attraxion.com
Portfolio Ventures,https://portfolio.ventures/,hello@portfolio.ventures
TechOne VC,https://www.techone.vc/,info@techone.vc
Ace Capital Partners,https://www.ace-cp.com/,Paulgregory0000@gmail.com
Augmentum Fintech,https://augmentum.vc,info@augmentum.vc
J12,https://www.j12ventures.com/,hi@j12ventures.com
Startuplab,http://www.startuplab.no/,tonje@startuplab.no
Finberg,https://finberg.com.tr/#/,info@finberg.com.tr
Blackfinch Ventures,https://blackfinch.ventures/,ventures@blackfinch.com
Geovation,https://geovation.uk,admin@geovation.uk
Plug and Play Spain,https://www.plugandplaytechcenter.com/,scouting@pnptc.com
Rockaway Capital,http://www.rockawaycapital.com,investments@rockawaycapital.com
MITON,http://www.miton.cz,info@miton.cz
Ship2B,http://www.ship2b.org/,jdeantonio@ship2bventures.com
Hubraum,http://hubraum.com,contact@hubraum.com
Firestartr,http://www.firestartr.co,info@firestartr.co
TRAIL SOLUTIONS PATRIMOINE,http://www.trailsolutionspatrimoine.eu,infos@sigmagestion.com
Startup Lisboa,http://www.startuplisboa.com,joao.rosado@startuplisboa.com
Conector Startup Accelerator,http://www.conector.com,conector@conector.com
Schibsted Growth,http://schibstedgrowth.com/,hello@schibstedgrowth.com
Zouk Capital,http://www.zouk.com,info@zouk.com
Quadrille Capital,http://www.quadrillecapital.com/,Johrenk7@gmail.com
Hexa,https://www.hexa.com,love@hexa.cc
Innovatiefonds Noord-Holland,http://www.innovatiefondsnoordholland.nl,info@innovatiefondsnoordholland.nl
Buildit VC,http://www.buildit.lv,buildit@buildit.lv
Martlet Capital,http://www.martletcap.com,contactus@martletcap.com
Castrum Capital,https://castrum.capital/,cc@castrum.istanbul
OneRagtime,https://www.oneragtime.com/,contact@oneragtime.com
Flow Traders,https://www.flowtraders.com/strategic-capital/,fscholten@flowtraders.com
AI Seed,http://aiseed.co,hello@aiseed.co
Moonrock Capital,https://www.moonrockcapital.io/,contact@moonrockcapital.io
StartLife,https://startlife.nl/,info@startlife.nl
Angel Investment Network,https://www.angelinvestmentnetwork.co.uk/,info@angelinvestmentnetwork.co.uk
Next Media Accelerator,http://www.nma.vc/,info@nma.vc
I-Source Gestion,http://www.isourcevc.com,info@isourcegestion.fr
WestTech Ventures,https://www.westtechventures.com/,pitch@westtechventures.com
Helios Investment Partners,http://heliosinvestment.com,info@heliosllp.com
Better Angle,https://www.better-angle.com/,contact@better-angle.com
Allianz X,https://www.allianzx.com,allianzx@allianz.com
ING Ventures,https://www.ingwb.com/en/corporate-investments/ing-ventures,ventures@ing.com
Prototron,http://www.prototron.ee,jana@prototron.ee
IDIA Capital Investissement,https://www.ca-idia.com,contact@ca-idia.com
Angel Academe,http://www.angelacademe.com,michelle@angelacademe.com
Pi Campus,http://www.picampus.it,welcome@picampus.it
Enterprise Equity,http://www.enterpriseequity.ie,info@enterpriseequity.ie
CM-CIC Capital Prive,http://www.cmciccapitalprive.com,capitalprive@cmcic.fr
Drukka Startup Studio,http://drukka.com/services#startup,info@drukkamarketing.hu
Moonfire Ventures,https://moonfire.com,hq@moonfire.com
Ring Capital,http://www.ringcp.com,contact@ringcp.com
Hi Inov - Dentressangle,http://www.hiinov.com/,contact@hiinov.com
Diffusion Capital Partners,http://www.dcp.vc,contact@dcp.vc
Bullnet Capital,http://www.bullnetcapital.com/,julecia@bullnetcapital.com
SMOK Ventures,http://smok.vc/,smok@smok.vc
VEF,https://vef.vc,henrik@vef.vc
Anaxago,http://www.anaxago.com,investir@anaxago.com
Enjoyventure Management,http://www.enjoyventure.vc,office@enjoyventure.de
DOEN Participaties,https://www.doen.nl/doen-participaties-en/portfolio.htm,linda@doen.nl
H14,http://www.h14.it/,amministrazione@h14.it
NCA,http://nca.vc,info@nca.vc
The Delta,https://www.thedelta.io,info@thedelta.io
KIZOO Technology Capital,http://www.kizoo.com,ventures@kizoo.com
Skolkovo Foundation,http://sk.ru,invest@sk.ru
Nanabianca,http://nanabianca.it,projects@nanabianca.it
Neomed Management,http://neomed.net,prjensen@neomed.net
Aboa Venture Management,http://www.aboaventure.fi,heikki.tuomaala@aboaventure.fi
BB Biotech Ventures,http://www.bbbiotechventures.com,info@bellevue.ch
AIB Seed Capital Fund,http://www.aibseedcapitalfund.ie,info@dbic.ie
Data Pitch,https://datapitch.eu/,info@datapitch.eu
VentureFounders,http://venturefounders.co.uk,info@venturefounders.co.uk
Neulogy Ventures,http://www.neulogy.vc/,info@neulogy.vc
DIG Ventures,http://dig.ventures,hello@dig.ventures
Voima Ventures,https://voimaventures.com/,hello@voimaventures.com
TechVision Fund,https://www.TechVision-Fonds.de,info@techvision-fonds.de
Matterwave Ventures,http://www.matterwave.vc,info@matterwave.vc
J&T Ventures,http://jtventures.cz/en/,info@jtventures.cz
Amundi Private Equity Funds,http://www.amundi.com,contact-pef@amundi.com
Seroba Life Sciences,http://www.seroba-lifesciences.com/,firstnamesurname@seroba-lifesciences.com
Capital Cell,https://capitalcell.es,info@capitalcell.net
EDP Ventures,https://www.edpventures.vc/,edpventures@edp.com
Cemex Ventures,http://www.cemexventures.com/,aparicio.cristina@cemexventures.com
FTTF,https://fttf.vc,info@fttf.eu
Bright Capital,http://bright-capital.com,businessplan@bright-capital.com
austria Wirtschaftsservice (aws),http://www.awsg.at,24h-auskunft@aws.at
Dutch Crypto Investors,https://dutchcryptoinvestors.com,info@dutchcryptoinvestors.com
Principia SGR,http://www.principiasgr.it,info@principiasgr.it
Openfund,http://www.theopenfund.com,info@theopenfund.com
Creadev,https://www.creadev.com/en,contact@creadev.fr
Gorilla Ventures Oy,http://www.gorillaventures.fi,petri.lehmuskoski@gorillaventures.fi
Vendep Capital,https://www.vendep.com,info@vendep.com
Sure Valley Ventures,https://surevalleyventures.com,info@surevalleyventures.com
Pollen Street Capital,http://www.pollenstreetgroup.com/,info@pollencap.com
FSN Capital Partners,http://fsncapital.com,admin@fsncapital.com
Scottish EDGE,https://scottishedge.com/,richard.gibson@scottishedge.com
70Ventures,https://www.70v.com,hello@70ventures.com
Illusian Founder Office,https://illusian.org/,firstname.lastname@illusian.org
Statkraft Ventures,http://www.statkraftventures.com/,info@statkraftventures.com
KR1,https://KR1.io/,team@KR1.io
CDP Equity,https://www.cdpequity.it/,info@cdpequity.it
Crescent Capital,http://www.crescentcapital.co.uk,info@crescentcapital.co.uk
Symvan Capital,https://www.symvancapital.com/,info@symvancapital.com
Open Data Incubator for Europe (ODINE),https://opendataincubator.eu/,info@opendataincubator.eu
Societe Generale Asset Management,http://www.sgam-ai.com,hedgefunds@sgam.com
Inflexion,http://www.inflexion.com,info@inflexion.com
Active Partners,https://active.partners/,enquiries@apeq.co.uk
Educapital,https://www.educapital.fr,contact@educapital.fr
AENU,https://www.aenu.com,hello@aenu.com
First Momentum Ventures,https://firstmomentum.vc,founders@firstmomentum.vc
European Investment Fund,http://www.eif.org,Edwardsarnold05@gmail.com
Contrarian Ventures,http://cventures.vc/,info@cventures.vc
Demium,https://demium.com,hello@demium.com
E3 Capital,https://e3-cap.com/,info@eavafrica.com
Insurtech Gateway,http://www.insurtechgateway.com,opensesame@insurtechgateway.com
dmg ventures,https://www.dmgventures.co.uk/,info@dmgventures.co.uk
Redline Capital,http://redline-capital.com/,london@redline-capital.com
O2h Ventures,http://www.o2hventures.com/,invest@o2h.com
Beyond Capital,https://www.joinbeyond.co/fund,will@joinbeyond.co
Esas Ventures,http://www.esasventures.com/,info@esasventures.com
Souter Investments,http://www.souterinvestments.com,info@souterinvestments.com
FORWARD.one,http://www.forward.one,info@forward.one
Dementia Discovery Fund,https://www.ddf.vc,ddf2deals@svhealthinvestors.com
Trind Ventures,http://trind.vc/,trind@trind.vc
BlueOrchard Finance S A,http://www.blueorchard.com,info@blueorchard.com
Polytech Ventures,https://polytechecosystem.vc,investor@polytechventure.lu
Korelya Capital,http://www.korelyacapital.com,korelya@korelyacapital.com
Cambridge Capital Group,http://www.cambridgecapitalgroup.co.uk,info@cambridgecapital.com
Blue Wire Capital,http://www.bluewirecapital.com/,info@bluewirecapital.com
Swiss Founders Fund,http://www.sff.vc/,contact@sff.vc
Lanai Partners,http://lanaipartners.com/,info@lanaipartners.com
KWORKS Koç University Entrepreneurship Research Center,http://kworks.ku.edu.tr,kworks@ku.edu.tr
Entrepreneurs Fund,http://www.entrepreneursfund.com,info@entrepreneursfund.com
IRDI SORIDEC Gestion,https://www.irdi.fr,contact.bordeaux@irdi.fr
Munich Venture Partners,http://www.munichvp.com,info@munichvp.com
Atlante Ventures,,elite@borsaitaliana.it
Conor Venture Partners,http://www.conor.vc,info@conor.vc
Happy Farm Business Accelerator,http://www.happyfarm.com.ua/,info@happyfarm.com.ua
Quantonation,http://www.quantonation.com,christophe@quantonation.com
Laser Digital,https://www.laserdigital.com/,inquiries@laserdigital.com
Hiro Capital,https://hiro.capital/,enquiries@hiro.capital
Launchbay Capital,https://launchbaycapital.com,hello@launchbaycapital.com
Keen Venture Partners,http://www.keenventurepartners.com/,info@keenventurepartners.com
Crowberry Capital,http://crowberrycapital.com/,hello@crowberrycapital.com
ADV,https://accelerated.ventures/founders/,hello@accelerated.ventures
2Shares,https://2shares.fund,vip@2shares.fund
Metavallon VC,http://www.metavallon.vc,contactus@metavallon.vc
LVL1 Group,https://lvl1group.com,contact@lvl1group.com
Yabeo,http://yabeo.de/,info@yabeo.de
Spark Ventures,http://www.sparkventuremanagement.com,enquires@sparkventures.com
Tarvenn Ventures,https://tarvenn.com/en/,info@tarvenn.com
Opes Impact Fund,http://www.opesfund.eu,info@opesfund.eu
Inventures SA,http://inventures.fund,info@mymicroinvest.com
TRGC,http://trgc.io/,hello@trgc.io
PeakBridge,https://peakbridge.vc,martina@peakbridge.vc
Early Game Ventures,https://earlygame.vc,hello@earlygame.vc
SmartFin,http://www.smartfinvc.com,info@smartfinvc.com
IW Capital,http://iwcapital.co.uk/,info@iwcapital.co.uk
Btomorrow Ventures,https://www.btomorrowv.com,contact@btomorrowv.com
Frog Capital,http://www.frogcapital.com,reception@frogcapital.com
BaltCap,http://www.baltcap.com,info@baltcap.com
Swedfund International,http://www.swedfund.se/en,info@swedfund.se
Korys,http://www.korys.be/,enquiries@korys.be
another.vc,https://www.another.vc,hello@another.vc
DOB Equity,http://www.dobequity.nl,Deanbridges99@gmail.com
Aggregate Media,http://www.aggregatemedia.com,info@aggregatemedia.com
Media Ventures,http://mediaventures.de,info@mediaventures.de
Mola,https://www.mola.com/,info@mola.com
3wVentures,http://www.3wventures.com,info@3wventures.com
Apis Partners,http://apis.pe/,info@apis.pe
OTB Ventures,http://otb.vc/,contact@otb.vc
NLC,https://nlc.health/,info@nlc.health
Aqua Spark,http://www.aqua-spark.nl,info@aqua-spark.nl
InReach Ventures,http://www.inreachventures.com,info@inreachventures.com
EquityPitcher Ventures,https://equitypitcher.com/,info@equitypitcher.com
Sciety,https://www.sciety.com/,financing@sciety.se
G1 Ventures,https://g1.vc/,team@g1.vc
CABRA VC,http://www.cabra.vc,info@cabra.vc
FunFair Ventures,https://funfair.ventures,projects@funfair.ventures
SIDE Capital,http://www.side-capital.com/,contact@side-capital.com
Seier Capital,http://www.seiercapital.com/,info@seiercapital.com
Active Venture Partners,http://www.active-vp.com,soderberg@active-vp.com
Western Development Commission,https://westerndevelopment.ie/,info@wdc.ie
